iter	Passed	Remaining
600	1390	923
601	1393	921
602	1396	919
603	1399	917
604	1402	915
605	1405	913
606	1408	911
607	1411	910
608	1414	908
609	1417	906
610	1419	904
611	1422	902
612	1426	900
613	1429	898
614	1432	896
615	1435	894
616	1438	892
617	1441	890
618	1443	888
619	1446	886
620	1450	885
621	1453	883
622	1455	880
623	1459	879
624	1461	876
625	1464	875
626	1467	873
627	1471	871
628	1473	869
629	1477	867
630	1480	865
631	1482	863
632	1485	861
633	1487	858
634	1489	855
635	1491	853
636	1493	851
637	1495	848
638	1498	846
639	1501	844
640	1503	842
641	1505	839
642	1507	836
643	1509	834
644	1511	831
645	1513	829
646	1515	826
647	1516	823
648	1518	821
649	1520	818
650	1523	816
651	1524	813
652	1526	811
653	1528	808
654	1530	806
655	1532	803
656	1534	801
657	1536	798
658	1538	796
659	1540	793
660	1542	791
661	1545	788
662	1547	786
663	1549	783
664	1551	781
665	1553	779
666	1555	776
667	1557	773
668	1559	771
669	1561	769
670	1563	766
671	1565	764
672	1567	761
673	1569	759
674	1571	756
675	1573	754
676	1575	751
677	1577	749
678	1579	746
679	1581	744
680	1583	741
681	1585	739
682	1587	736
683	1589	734
684	1591	731
685	1593	729
686	1594	726
687	1596	724
688	1598	721
689	1600	718
690	1602	716
691	1604	714
692	1606	711
693	1608	709
694	1610	706
695	1612	704
696	1613	701
697	1615	698
698	1617	696
699	1619	694
700	1621	691
701	1623	689
702	1625	686
703	1628	684
704	1630	682
705	1632	679
706	1634	677
707	1636	674
708	1638	672
709	1639	669
710	1641	667
711	1644	665
712	1646	662
713	1648	660
714	1650	657
715	1652	655
716	1654	652
717	1657	651
718	1660	648
719	1662	646
720	1664	644
721	1666	641
722	1668	639
723	1671	637
724	1673	634
725	1676	632
726	1678	630
727	1680	627
728	1682	625
729	1685	623
730	1687	620
731	1689	618
732	1691	616
733	1693	613
734	1695	611
735	1697	608
736	1700	606
737	1701	604
738	1703	601
739	1705	599
740	1707	596
741	1709	594
742	1711	592
743	1713	589
744	1715	587
745	1717	584
746	1718	582
747	1721	579
748	1723	577
749	1725	575
750	1727	572
751	1729	570
752	1731	568
753	1734	565
754	1736	563
755	1738	561
756	1741	559
757	1743	556
758	1746	554
759	1748	552
760	1751	550
761	1754	548
762	1757	545
763	1761	544
764	1764	541
765	1767	539
766	1770	537
767	1772	535
768	1775	533
769	1777	530
770	1780	528
771	1783	526
772	1785	524
773	1789	522
774	1791	520
775	1794	518
776	1797	515
777	1800	513
778	1803	511
779	1806	509
780	1810	507
781	1813	505
782	1815	503
783	1818	500
784	1821	498
785	1824	496
786	1827	494
787	1831	492
788	1834	490
789	1838	488
790	1841	486
791	1843	484
792	1846	481
793	1850	480
794	1853	478
795	1856	475
796	1859	473
797	1862	471
798	1864	469
799	1867	466
800	1869	464
801	1871	462
802	1873	459
803	1875	457
804	1877	454
805	1879	452
806	1882	450
807	1883	447
808	1885	445
809	1887	442
810	1889	440
811	1890	437
812	1892	435
813	1895	433
814	1896	430
815	1898	428
816	1900	425
817	1902	423
818	1904	420
819	1905	418
820	1907	415
821	1909	413
822	1911	411
823	1913	408
824	1915	406
825	1918	404
826	1920	401
827	1922	399
828	1924	396
829	1926	394
830	1928	392
831	1930	389
832	1933	387
833	1937	385
834	1940	383
835	1943	381
836	1946	379
837	1948	376
838	1950	374
839	1952	371
840	1956	369
841	1958	367
842	1961	365
843	1963	362
844	1966	360
845	1968	358
846	1971	356
847	1973	353
848	1975	351
849	1978	349
850	1980	346
851	1983	344
852	1986	342
853	1988	339
854	1991	337
855	1993	335
856	1995	333
857	1998	330
858	2001	328
859	2003	326
860	2006	323
861	2008	321
862	2010	319
863	2013	316
864	2016	314
865	2019	312
866	2021	310
867	2024	307
868	2029	305
869	2032	303
870	2035	301
871	2038	299
872	2041	297
873	2045	294
874	2050	292
875	2054	290
876	2057	288
877	2060	286
878	2063	284
879	2067	281
880	2070	279
881	2073	277
882	2076	275
883	2079	272
884	2081	270
885	2085	268
886	2088	266
887	2091	263
888	2093	261
889	2097	259
890	2100	257
891	2104	254
892	2107	252
893	2110	250
894	2112	247
895	2116	245
896	2119	243
897	2121	241
898	2124	238
899	2127	236
900	2130	234
901	2133	231
902	2135	229
903	2137	226
904	2139	224
905	2141	222
906	2144	219
907	2146	217
908	2149	215
909	2152	212
910	2155	210
911	2158	208
912	2160	205
913	2163	203
914	2165	201
915	2168	198
916	2170	196
917	2173	194
918	2176	191
919	2179	189
920	2181	187
921	2184	184
922	2186	182
923	2188	180
924	2190	177
925	2193	175
926	2196	172
927	2198	170
928	2200	168
929	2202	165
930	2204	163
931	2207	161
932	2209	158
933	2210	156
934	2212	153
935	2214	151
936	2216	149
937	2220	146
938	2222	144
939	2224	141
940	2226	139
941	2228	137
942	2231	134
943	2233	132
944	2236	130
945	2238	127
946	2240	125
947	2242	122
948	2244	120
949	2246	118
950	2248	115
951	2250	113
952	2251	111
953	2253	108
954	2255	106
955	2257	103
956	2259	101
957	2262	99
958	2263	96
959	2265	94
960	2267	92
961	2269	89
962	2271	87
963	2273	84
964	2277	82
965	2279	80
966	2281	77
967	2282	75
968	2284	73
969	2286	70
970	2288	68
971	2290	65
972	2292	63
973	2294	61
974	2296	58
975	2297	56
976	2300	54
977	2301	51
978	2304	49
979	2306	47
980	2308	44
981	2310	42
982	2311	39
983	2313	37
984	2316	35
985	2318	32
986	2320	30
987	2322	28
988	2323	25
989	2325	23
990	2327	21
991	2329	18
992	2331	16
993	2333	14
994	2335	11
995	2337	9
996	2339	7
997	2341	4
998	2343	2
999	2345	0
